Repository,SourceBranch,SourceCommit,RelativePath,Bytes,SHA256,Executable,Symlink
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Analysis_Documentation_Validation.md,3264,068676ce6b5ee50f88138e85b392c1491a72b8d1c113ffe96e7dda8d4a9fa3ea,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Commit_Message_Validation.md,2741,02cecb52cb297c5aa7f2d65a7d1bb519d569d5e91bcd4c8da68d8963d59dfe42,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/External_Restore_Host_Proof_Runbook.md,2988,7a25cd702ffb97610919c1096a60fe4631c83552edb17eb0701b7d246bdbc846,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Known_Issues_History.md,9425,a2c15f4ffdac45736804418a332ec32fae55e320977396f97bf2480e957a00cd,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Migration_Audit_History.json,2187,d9660fed2413e2667f42c92cdb7d898dd64877105c5abdc4c4ecb3dbf9e3964b,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/NextSteps_External_Note.md,9722,61c60665560f348d40480c43e468e56e4e1e5fd3a183a20d343fabdb4bca336e,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Next_Steps.md,21414,9ec90721e57dde394c38a779c25282270d9e85539d1d4201eb84210787daf95b,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Release_Gate_Runbook.md,15143,fc21617ef5f45bd5b51583b6d6bb5b632adb33cf587951d0e407daf18ede7a72,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Release_Notes_History.md,49349,3a784d35fcee920bf7980e71321f6ff67e2d27715067f9d62a3cb73ecf55298e,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Repository_Privacy_Validation.md,3245,7531e1358ec996d9894762b785949068939d879702dd2d2c2287a0f038190d27,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/SQL_Server_2025_Regex_Gate.md,4849,a29f9ff0651b5804452609a2ec433f0d98812455f0cf84245f93e3f08a9a3431,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Test_Matrix_History.md,11802,7bc7834c74ad30738e65795d7aa9c5b12d05d2875842561588bc94c0966ef37b,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Quality/Wait_Type_Curation.md,5848,aa391c62443dd3c7c651842c9bc4c179571d1236f6210ffc407776bc815101c4,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/README.md,1747,9796ba9361b5e13f89805888e0b357c7e1d832a7a7f9086428e7da8a7d1d1fef,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Requirements/Requirements_and_Decisions.md,23626,8109d3f557e79b182491658aeea8696a2e7716ab4faae7b16cd6d349a389f68b,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Extended_Events.md,2755,f585f2c2fdb7e0408842805859ebd19afe6753c42f90754c170be9bc354d25cc,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Legacy_Analysis_Results.md,1539,ef5c315688f21172e527054993c0791e5efdff27a2ab0a465bdee47afc1f2e64,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Plan_Cache_and_Showplan.md,3361,40df0693203494eeec805a89b634717c6c31a5bbfd5bed2321f492d00ca27738,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Query_Store.md,1451,394806e26039da5c98fadb09f1b1bc5fbe6d8a7b3301072f79db0c16edf0b1e3,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Sources.md,36721,61b7c7ecb5e9f201ba7957ec93322d248d6e2bfcded92517dfcc1f8171869cd3,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/Special_Case_Gap_Analysis.md,43494,08ce7e48b4bdb99c872ccee7988b9ab58910c0ffa24979666e95dfe97d1b6e84,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/Research/System_Source_Catalog.md,7869,992be5a7efe01a4a46b5314923912593479b373fd031af592f12557388b521af,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/private_Note/Manueller_Test_Hyper-V.md,6427,7aa9c0cd0cc041f39e8020d10ffd503c5212d38a705a0e5f403d297a1db164bd,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/private_Note/README.md,580,327ffc729854f931e81bb4e78669a9fb85bfa46fe0eb685fd522d0312791465a,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/private_Note/Reproducible Diagnostic Lab.md,63257,ce48e0a77bc938510f81583bb0642b883755acde89c631bd1b15ae22c596c6c0,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/private_Note/ToDoList.md,15910,a572b7a9754600010d7f8b0f4175c296df6cd95fd3a93bd633783e55d8aeea78,False,False
SQL_Server_Analyze,main,612bcc60d4a8a34c05ab28ffc6ce964e359df6c2,AI_Metadata/Internal_Documentation/private_Note/erkannte_Probleme.md,12407,1c1cf23d32e2a8c3b14ce44f8f17da494a76ab6a27091376fe30a4fe05a28121,False,False
