ProcedureName,ParameterName,DataType,DefaultExpression
USP_CurrentWaits,SystemSessionsEinbeziehen,bit,0
USP_CurrentWaits,ToolHintergrundabfragenEinbeziehen,bit,0
USP_CurrentWaits,MitSqlText,bit,1
USP_CurrentWaits,MaxSqlTextZeichen,int,2000
USP_CurrentWaits,SampleSeconds,tinyint,0
USP_CurrentWaits,UnkritischeWaitsEinbeziehen,bit,0
USP_CurrentWaits,TopWaitPercentage,"decimal(5,2)",95.00
USP_CurrentWaits,MaxZeilen,int,1000
USP_CurrentWaits,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentWaits,ResultTablesJson,nvarchar(max),NULL
USP_CurrentWaits,JsonErzeugen,bit,0
USP_CurrentWaits,Json,nvarchar(max),NULL OUTPUT
USP_CurrentWaits,PrintMeldungen,bit,1
USP_CurrentWaits,Hilfe,bit,0
USP_CurrentWaits,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentTransactions,SessionIds,nvarchar(max),NULL
USP_CurrentTransactions,MinAlterSekunden,int,0
USP_CurrentTransactions,NurSleeping,bit,0
USP_CurrentTransactions,SystemSessionsEinbeziehen,bit,0
USP_CurrentTransactions,MitSqlText,bit,1
USP_CurrentTransactions,MaxSqlTextZeichen,int,3000
USP_CurrentTransactions,MaxZeilen,int,1000
USP_CurrentTransactions,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentTransactions,ResultTablesJson,nvarchar(max),NULL
USP_CurrentTransactions,JsonErzeugen,bit,0
USP_CurrentTransactions,Json,nvarchar(max),NULL OUTPUT
USP_CurrentTransactions,PrintMeldungen,bit,1
USP_CurrentTransactions,Hilfe,bit,0
USP_CurrentTransactions,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentMemoryGrants,SessionIds,nvarchar(max),NULL
USP_CurrentMemoryGrants,AktuelleSessionEinbeziehen,bit,0
USP_CurrentMemoryGrants,NurWartende,bit,0
USP_CurrentMemoryGrants,MinRequestedMb,"decimal(19,2)",NULL
USP_CurrentMemoryGrants,MinGrantedMb,"decimal(19,2)",NULL
USP_CurrentMemoryGrants,MitSqlText,bit,1
USP_CurrentMemoryGrants,MaxSqlTextZeichen,int,3000
USP_CurrentMemoryGrants,MaxZeilen,int,1000
USP_CurrentMemoryGrants,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentMemoryGrants,ResultTablesJson,nvarchar(max),NULL
USP_CurrentMemoryGrants,JsonErzeugen,bit,0
USP_CurrentMemoryGrants,Json,nvarchar(max),NULL OUTPUT
USP_CurrentMemoryGrants,PrintMeldungen,bit,1
USP_CurrentMemoryGrants,Hilfe,bit,0
USP_CurrentMemoryGrants,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentTempDB,SessionIds,nvarchar(max),NULL
USP_CurrentTempDB,AktuelleSessionEinbeziehen,bit,0
USP_CurrentTempDB,MinNettoMb,"decimal(19,2)",0
USP_CurrentTempDB,SystemSessionsEinbeziehen,bit,0
USP_CurrentTempDB,MitDateien,bit,1
USP_CurrentTempDB,MaxZeilen,int,1000
USP_CurrentTempDB,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentTempDB,ResultTablesJson,nvarchar(max),NULL
USP_CurrentTempDB,JsonErzeugen,bit,0
USP_CurrentTempDB,Json,nvarchar(max),NULL OUTPUT
USP_CurrentTempDB,PrintMeldungen,bit,1
USP_CurrentTempDB,Hilfe,bit,0
USP_CurrentTempDB,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentIO,DatabaseNames,nvarchar(max),NULL
USP_CurrentIO,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentIO,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentIO,HighImpactConfirmed,bit,0
USP_CurrentIO,MinLatencyMs,"decimal(19,3)",0
USP_CurrentIO,SampleSeconds,tinyint,0
USP_CurrentIO,PendingIoEinbeziehen,bit,1
USP_CurrentIO,NurWiederholtPending,bit,0
USP_CurrentIO,MinPendingIoMs,bigint,0
USP_CurrentIO,PhysischePfadeEinbeziehen,bit,0
USP_CurrentIO,MaxZeilen,int,1000
USP_CurrentIO,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentIO,ResultTablesJson,nvarchar(max),NULL
USP_CurrentIO,JsonErzeugen,bit,0
USP_CurrentIO,Json,nvarchar(max),NULL OUTPUT
USP_CurrentIO,PrintMeldungen,bit,1
USP_CurrentIO,Hilfe,bit,0
USP_CurrentIO,ParentCurrentStateSnapshotId,uniqueidentifier,NULL
USP_CurrentLog,DatabaseNames,nvarchar(max),NULL
USP_CurrentLog,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentLog,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentLog,HighImpactConfirmed,bit,0
USP_CurrentLog,MinUsedPercent,"decimal(5,2)",NULL
USP_CurrentLog,MitVlfInformationen,bit,0
USP_CurrentLog,MitPersistentVersionStore,bit,0
USP_CurrentLog,MaxZeilen,int,1000
USP_CurrentLog,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentLog,ResultTablesJson,nvarchar(max),NULL
USP_CurrentLog,JsonErzeugen,bit,0
USP_CurrentLog,Json,nvarchar(max),NULL OUTPUT
USP_CurrentLog,PrintMeldungen,bit,1
USP_CurrentLog,Hilfe,bit,0
USP_CurrentOverview,SessionIds,nvarchar(max),NULL
USP_CurrentOverview,DatabaseNames,nvarchar(max),NULL
USP_CurrentOverview,SystemdatenbankenEinbeziehen,bit,0
USP_CurrentOverview,DatabaseNamePattern,nvarchar(4000),NULL
USP_CurrentOverview,HighImpactConfirmed,bit,0
USP_CurrentOverview,ToolHintergrundabfragenEinbeziehen,bit,0
USP_CurrentOverview,Detailgrad,varchar(16),'SUMMARY'
USP_CurrentOverview,MitSessions,bit,1
USP_CurrentOverview,MitRequests,bit,1
USP_CurrentOverview,MitBlocking,bit,1
USP_CurrentOverview,BlockingObjektTiefe,varchar(16),'STANDARD'
USP_CurrentOverview,MaxObjektAufloesungen,int,100
USP_CurrentOverview,MitWaits,bit,1
USP_CurrentOverview,MitTransactions,bit,1
USP_CurrentOverview,MitMemoryGrants,bit,1
USP_CurrentOverview,MitTempDB,bit,1
USP_CurrentOverview,MitIO,bit,1
USP_CurrentOverview,MitLog,bit,1
USP_CurrentOverview,MitSqlText,bit,1
USP_CurrentOverview,GesamtenSqlTextEinbeziehen,bit,0
USP_CurrentOverview,InputBufferEinbeziehen,bit,0
USP_CurrentOverview,ModulInfoEinbeziehen,bit,1
USP_CurrentOverview,MaxSqlTextZeichen,int,4000
USP_CurrentOverview,SampleSeconds,tinyint,0
USP_CurrentOverview,MaxZeilen,int,500
USP_CurrentOverview,ResultSetArt,varchar(16),'CONSOLE'
USP_CurrentOverview,ResultTablesJson,nvarchar(max),NULL
USP_CurrentOverview,JsonErzeugen,bit,0
USP_CurrentOverview,Json,nvarchar(max),NULL OUTPUT
USP_CurrentOverview,PrintMeldungen,bit,1
USP_CurrentOverview,Hilfe,bit,0
USP_ObjectInventory,DatabaseNames,nvarchar(max),NULL
USP_ObjectInventory,SystemdatenbankenEinbeziehen,bit,0
USP_ObjectInventory,DatabaseNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,HighImpactConfirmed,bit,0
USP_ObjectInventory,SchemaNames,nvarchar(max),NULL
USP_ObjectInventory,SchemaNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,ObjectNames,nvarchar(max),NULL
USP_ObjectInventory,ObjectNamePattern,nvarchar(4000),NULL
USP_ObjectInventory,FullObjectNames,nvarchar(max),NULL
USP_ObjectInventory,ObjectType,varchar(16),'TABLE'
USP_ObjectInventory,AnalyseModus,varchar(16),'GEZIELT'
USP_ObjectInventory,MitIndizes,bit,1
USP_ObjectInventory,MitSpaltenlisten,bit,1
USP_ObjectInventory,MaxZeilen,int,5000
USP_ObjectInventory,LockTimeoutMs,int,0
USP_ObjectInventory,ResultSetArt,varchar(16),'CONSOLE'
USP_ObjectInventory,ResultTablesJson,nvarchar(max),NULL
USP_ObjectInventory,JsonErzeugen,bit,0
USP_ObjectInventory,Json,nvarchar(max),NULL OUTPUT
USP_ObjectInventory,PrintMeldungen,bit,1
USP_ObjectInventory,Hilfe,bit,0
USP_IndexUsage,DatabaseNames,nvarchar(max),NULL
USP_IndexUsage,SystemdatenbankenEinbeziehen,bit,0
USP_IndexUsage,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexUsage,HighImpactConfirmed,bit,0
USP_IndexUsage,SchemaNames,nvarchar(max),NULL
USP_IndexUsage,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexUsage,ObjectNames,nvarchar(max),NULL
USP_IndexUsage,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexUsage,FullObjectNames,nvarchar(max),NULL
USP_IndexUsage,AnalyseModus,varchar(16),'GEZIELT'
USP_IndexUsage,NurUngenutzt,bit,0
USP_IndexUsage,MinUserUpdates,bigint,0
USP_IndexUsage,PrimaryUndUniqueEinbeziehen,bit,1
USP_IndexUsage,MitMemoryOptimized,bit,1
USP_IndexUsage,MaxZeilen,int,5000
USP_IndexUsage,LockTimeoutMs,int,0
USP_IndexUsage,ResultSetArt,varchar(16),'CONSOLE'
USP_IndexUsage,ResultTablesJson,nvarchar(max),NULL
USP_IndexUsage,JsonErzeugen,bit,0
USP_IndexUsage,Json,nvarchar(max),NULL OUTPUT
USP_IndexUsage,PrintMeldungen,bit,1
USP_IndexUsage,Hilfe,bit,0
USP_IndexOperationalStats,DatabaseNames,nvarchar(max),NULL
USP_IndexOperationalStats,SystemdatenbankenEinbeziehen,bit,0
USP_IndexOperationalStats,DatabaseNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,HighImpactConfirmed,bit,0
USP_IndexOperationalStats,SchemaNames,nvarchar(max),NULL
USP_IndexOperationalStats,SchemaNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,ObjectNames,nvarchar(max),NULL
USP_IndexOperationalStats,ObjectNamePattern,nvarchar(4000),NULL
USP_IndexOperationalStats,FullObjectNames,nvarchar(max),NULL
