ObjectType,ObjectName,SourcePath
PROCEDURE,USP_IntelligentQueryProcessingAnalysis,Code/05_QueryStore/090_USP_IntelligentQueryProcessingAnalysis.sql
PROCEDURE,USP_ExtendedEventsSessions,Code/06_ExtendedEvents/010_USP_ExtendedEventsSessions.sql
PROCEDURE,USP_ExtendedEventsReadEvents,Code/06_ExtendedEvents/020_USP_ExtendedEventsReadEvents.sql
PROCEDURE,USP_ExtendedEventsDeadlocks,Code/06_ExtendedEvents/030_USP_ExtendedEventsDeadlocks.sql
PROCEDURE,USP_ExtendedEventsBlockedProcesses,Code/06_ExtendedEvents/040_USP_ExtendedEventsBlockedProcesses.sql
PROCEDURE,USP_ExtendedEventsTargetRuntime,Code/06_ExtendedEvents/050_USP_ExtendedEventsTargetRuntime.sql
PROCEDURE,USP_ExtendedEventsAnalysis,Code/06_ExtendedEvents/060_USP_ExtendedEventsAnalysis.sql
PROCEDURE,USP_AgentStatus,Code/07_Infrastructure/010_USP_AgentStatus.sql
PROCEDURE,USP_AgentJobs,Code/07_Infrastructure/020_USP_AgentJobs.sql
PROCEDURE,USP_ResourceGovernorAnalysis,Code/07_Infrastructure/030_USP_ResourceGovernorAnalysis.sql
PROCEDURE,USP_AvailabilityGroups,Code/07_Infrastructure/040_USP_AvailabilityGroups.sql
PROCEDURE,USP_BackupRecovery,Code/07_Infrastructure/050_USP_BackupRecovery.sql
PROCEDURE,USP_LogShippingStatus,Code/07_Infrastructure/060_USP_LogShippingStatus.sql
PROCEDURE,USP_ReplicationStatus,Code/07_Infrastructure/070_USP_ReplicationStatus.sql
PROCEDURE,USP_DataCaptureStatus,Code/07_Infrastructure/080_USP_DataCaptureStatus.sql
PROCEDURE,USP_InfrastructureAnalysis,Code/07_Infrastructure/090_USP_InfrastructureAnalysis.sql
PROCEDURE,USP_BackupChainAnalysis,Code/07_Infrastructure/100_USP_BackupChainAnalysis.sql
PROCEDURE,USP_AvailabilityDeepAnalysis,Code/07_Infrastructure/110_USP_AvailabilityDeepAnalysis.sql
PROCEDURE,USP_AgentMonitoringAnalysis,Code/07_Infrastructure/120_USP_AgentMonitoringAnalysis.sql
PROCEDURE,USP_MaintenanceOperations,Code/07_Infrastructure/130_USP_MaintenanceOperations.sql
PROCEDURE,USP_ErrorLogAnalysis,Code/07_Infrastructure/140_USP_ErrorLogAnalysis.sql
PROCEDURE,USP_ServerCpuTopology,Code/08_ServerHealth/010_USP_ServerCpuTopology.sql
PROCEDURE,USP_ServerNuma,Code/08_ServerHealth/020_USP_ServerNuma.sql
PROCEDURE,USP_ServerMemory,Code/08_ServerHealth/030_USP_ServerMemory.sql
PROCEDURE,USP_TempDBConfiguration,Code/08_ServerHealth/040_USP_TempDBConfiguration.sql
PROCEDURE,USP_ServerConfiguration,Code/08_ServerHealth/050_USP_ServerConfiguration.sql
PROCEDURE,USP_TraceFlags,Code/08_ServerHealth/060_USP_TraceFlags.sql
PROCEDURE,USP_StartupParameters,Code/08_ServerHealth/070_USP_StartupParameters.sql
PROCEDURE,USP_OSInformation,Code/08_ServerHealth/080_USP_OSInformation.sql
PROCEDURE,USP_ServerSecurityConfiguration,Code/08_ServerHealth/090_USP_ServerSecurityConfiguration.sql
PROCEDURE,USP_ServerHealthAnalysis,Code/08_ServerHealth/100_USP_ServerHealthAnalysis.sql
PROCEDURE,USP_DatabaseIntegrityAnalysis,Code/08_ServerHealth/110_USP_DatabaseIntegrityAnalysis.sql
PROCEDURE,USP_DatabaseCapacityAnalysis,Code/08_ServerHealth/120_USP_DatabaseCapacityAnalysis.sql
PROCEDURE,USP_PerformanceCounters,Code/08_ServerHealth/130_USP_PerformanceCounters.sql
PROCEDURE,USP_CriticalEngineEvents,Code/08_ServerHealth/140_USP_CriticalEngineEvents.sql
PROCEDURE,USP_InternalContentionAnalysis,Code/08_ServerHealth/150_USP_InternalContentionAnalysis.sql
PROCEDURE,USP_BufferPoolAnalysis,Code/08_ServerHealth/160_USP_BufferPoolAnalysis.sql
PROCEDURE,USP_DiagnosticFindings,Code/08_ServerHealth/170_USP_DiagnosticFindings.sql
PROCEDURE,USP_WorkerPressureAnalysis,Code/08_ServerHealth/180_USP_WorkerPressureAnalysis.sql
PROCEDURE,USP_DatabaseConfigurationAnalysis,Code/08_ServerHealth/190_USP_DatabaseConfigurationAnalysis.sql
PROCEDURE,USP_ServerFeatureCapabilities,Code/09_VersionAdaptive/010_USP_ServerFeatureCapabilities.sql
TABLE,SqlServerBuildCatalog,Code/09_VersionAdaptive/011_SqlServerBuildCatalog.sql
TABLE,SqlServerLifecycleCatalog,Code/09_VersionAdaptive/012_SqlServerLifecycleCatalog.sql
PROCEDURE,USP_ServerVersionInformation,Code/09_VersionAdaptive/015_USP_ServerVersionInformation.sql
PROCEDURE,USP_SpecialFeatureInventory,Code/09_VersionAdaptive/020_USP_SpecialFeatureInventory.sql
PROCEDURE,USP_InMemoryOltpAnalysis,Code/09_VersionAdaptive/030_USP_InMemoryOltpAnalysis.sql
PROCEDURE,USP_TemporalAnalysis,Code/09_VersionAdaptive/040_USP_TemporalAnalysis.sql
PROCEDURE,USP_ServiceBrokerAnalysis,Code/09_VersionAdaptive/050_USP_ServiceBrokerAnalysis.sql
PROCEDURE,USP_FullTextAnalysis,Code/09_VersionAdaptive/060_USP_FullTextAnalysis.sql
PROCEDURE,USP_DataCaptureDeepAnalysis,Code/09_VersionAdaptive/070_USP_DataCaptureDeepAnalysis.sql
PROCEDURE,USP_EncryptionAnalysis,Code/09_VersionAdaptive/080_USP_EncryptionAnalysis.sql
PROCEDURE,USP_ExternalRuntimeAnalysis,Code/09_VersionAdaptive/090_USP_ExternalRuntimeAnalysis.sql
PROCEDURE,USP_ClrAnalysis,Code/09_VersionAdaptive/100_USP_ClrAnalysis.sql
TABLE,PlanAnalysisProfile,Code/04_PlanCache/041_PlanAnalysisProfile.sql
TABLE,PlanAnalysisRuleThreshold,Code/04_PlanCache/042_PlanAnalysisRuleThreshold.sql
TABLE,PlanAnalysisProfileAssignment,Code/04_PlanCache/043_PlanAnalysisProfileAssignment.sql
FUNCTION,TVF_ParseStatisticsIoText,Code/04_PlanCache/044_TVF_ParseStatisticsIoText.sql
FUNCTION,TVF_ParseStatisticsTimeText,Code/04_PlanCache/045_TVF_ParseStatisticsTimeText.sql
FUNCTION,TVF_ExecutionPlanObjectReferences,Code/04_PlanCache/046_TVF_ExecutionPlanObjectReferences.sql
FUNCTION,TVF_ExecutionPlanStatisticsUsage,Code/04_PlanCache/047_TVF_ExecutionPlanStatisticsUsage.sql
FUNCTION,TVF_ExecutionPlanColumnReferences,Code/04_PlanCache/048_TVF_ExecutionPlanColumnReferences.sql
INTERNAL_PROCEDURE,InternalCollectExecutionPlanMetadata,Code/04_PlanCache/049_InternalCollectExecutionPlanMetadata.sql
INTERNAL_PROCEDURE,InternalAnalyzeExecutionPlan,Code/04_PlanCache/051_InternalAnalyzeExecutionPlan.sql
PROCEDURE,USP_CreateExecutionEvidenceJson,Code/04_PlanCache/052_USP_CreateExecutionEvidenceJson.sql
PROCEDURE,USP_ExecutionPlanAnalysis,Code/04_PlanCache/053_USP_ExecutionPlanAnalysis.sql
TABLE,SnapshotTargetConfiguration,Code/10_SnapshotBaseline/010_SnapshotTargetConfiguration.sql
TABLE,PackageVersion,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,RetentionPolicy,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,CollectorPolicy,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,CaptureRun,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,ModuleStatus,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,Scope,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,MetricDefinition,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,MetricSample,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,PayloadSnapshot,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
TABLE,PurgeRun,Code/10_SnapshotBaseline/030_Snapshot_Target_Schema.sql
INTERNAL_PROCEDURE,InternalConfigureSnapshotPolicy,Code/10_SnapshotBaseline/020_InternalConfigureSnapshotPolicy.sql
INTERNAL_PROCEDURE,InternalPrepareCollectionCycle,Code/10_SnapshotBaseline/040_InternalPrepareCollectionCycle.sql
INTERNAL_PROCEDURE,InternalCompletePerformanceCounterCycle,Code/10_SnapshotBaseline/050_InternalCompletePerformanceCounterCycle.sql
INTERNAL_PROCEDURE,InternalFinalizeCollectionCycle,Code/10_SnapshotBaseline/060_InternalFinalizeCollectionCycle.sql
INTERNAL_PROCEDURE,InternalPurgeExpiredData,Code/10_SnapshotBaseline/070_InternalPurgeExpiredData.sql
PROCEDURE,USP_ConfigureSnapshotTarget,Code/10_SnapshotBaseline/080_USP_ConfigureSnapshotTarget.sql
PROCEDURE,USP_RunSnapshotCollectionCycle,Code/10_SnapshotBaseline/090_USP_RunSnapshotCollectionCycle.sql
PROCEDURE,USP_PurgeSnapshotData,Code/10_SnapshotBaseline/100_USP_PurgeSnapshotData.sql
