TargetId,SuiteId,CommitSha,TestStatus,EvidenceStatus,TestedAtUtc,LimitationCode,EvidenceReference
SQL2025-LINUX,P1_FINDINGS_RUNTIME,bdb8f66e20f015e7c563e6d3747144400897b281,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T14:24:51Z,ACTIONS_SYNTHETIC_P1_FINDINGS_RESTORED_CONTEXT,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29647983330
SQL2019-LINUX,P2_FEATURE_INVENTORY_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_FEATURE_INVENTORY_MIXED_FIXTURES,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_XTP_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_XTP_NO_FORCED_HASH_SCAN,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_TEMPORAL_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_TEMPORAL_NO_HISTORY_DATA,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_BROKER_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_BROKER_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_FULLTEXT_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_FULLTEXT_NO_LINUX_DDL,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_DATA_CAPTURE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_DATA_CAPTURE_NO_PAYLOAD,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_ENCRYPTION_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_ENCRYPTION_NO_SECRETS,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2019-LINUX,P2_MAINTENANCE_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:35Z,ACTIONS_SYNTHETIC_P2_MAINTENANCE_READ_ONLY,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121684
SQL2022-LINUX,P2_FEATURE_INVENTORY_RUNTIME,40d54fdc195b5cfa0015e2cbe281da595e427ab0,PASS_WITH_LIMITATIONS,INDEPENDENTLY_VERIFIED,2026-07-18T18:35:51Z,ACTIONS_SYNTHETIC_P2_FEATURE_INVENTORY_MIXED_FIXTURES,https://github.com/gecompat/SQL_Server_Analyze/actions/runs/29656121674
